Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000
1300,2800,4400,6200,8000,10200,11700,12600,14500,16100,18600,19700,21500,24400,26600,27700,30400,30200,33300,33900,35900,49300,39500,41400,43400,46200,48900,52800,50500,55100,63300,56800,61400,61000,61200,67900,66400,71200,69100,72100,77000,80100,82300,80200,81400,88500,85900,87500,91700,90100,156100,120900,101600,99500,123300,103300,104100,108500,109300,113700,114700,134400,137900,116700,123100,195000,128000,129400,130400,193600,132000,142600,162600,139100,139400,148100,143900,234200,160100,196400,198300,160500,157300,157300,174100,172400,227100,193100,268600,169900,186400,174000,190900,195700,183200,181400,187400,186000,196800,200600
1500,2900,4600,5900,7700,9900,11700,12700,14700,16000,17900,19600,21400,28100,25900,27300,31100,30600,32200,33300,36700,43900,43300,41300,44200,44100,48300,52400,50400,54300,56400,54500,60800,61100,62900,68200,66600,71200,69300,72100,78000,75900,79600,80600,83100,86100,86200,85700,91400,91500,163100,98500,100000,100800,110100,110200,108800,140500,109700,113600,116300,121500,123400,120700,119500,124700,127100,130400,140600,237800,142000,159400,139100,139600,140800,320400,159200,163600,147000,160500,157100,161500,195500,161900,161800,162600,171200,346800,175900,170000,173100,184500,193900,177800,189900,191200,184800,197600,197400,195400
1200,2900,4600,5900,9300,10100,11700,12100,15100,16200,19400,19200,21400,27600,26300,27500,30700,30000,32200,34600,36400,38100,44500,42100,43500,44500,48700,52900,50500,54900,58200,55400,63000,61100,62900,66800,66700,69500,69900,71800,75900,74500,82500,78600,80200,85000,87900,85700,89500,90700,95700,96600,99300,102900,105000,106500,109100,110900,110300,115100,112800,114900,122000,116700,138500,125200,128700,129500,144300,136400,137200,149500,139600,139300,143600,153100,150100,146200,146900,151100,152700,160800,166800,161100,162400,173700,171000,324400,169200,175000,191500,174600,191000,182400,212500,179400,191800,227500,190100,193900
1200,2600,4900,6200,7700,10100,11100,12700,14700,15700,19400,19400,21100,24200,27100,27300,30600,30200,32600,33800,36500,38000,40500,41400,44000,45100,54700,51800,50300,54800,58500,55200,61800,61100,78300,68200,67900,71000,70600,72600,83300,76800,79300,78800,126200,105800,85200,86300,88100,89400,163600,98200,100000,99500,116800,116400,111000,111000,122800,110200,117900,118700,116700,123700,135600,123500,129000,134700,130700,131700,139100,134100,137500,139900,141700,179600,151300,151100,147000,149900,154200,190900,157400,159100,163100,174500,289200,304500,170200,176300,182200,173100,192800,180300,181100,334300,189100,186300,213500,203300
1200,3100,4500,5900,7600,10000,11500,12600,15000,16200,19100,19300,21200,23400,26200,27300,29800,31800,32500,40000,36800,37100,40200,41400,78300,45900,55100,52200,56500,54100,57300,56000,60300,61100,62700,67400,67000,75100,70300,72100,105000,76000,78500,79500,81800,88200,87700,86600,88900,90900,95900,98100,107000,111000,102400,106200,104000,109100,110300,112800,120500,113200,115500,121900,126700,132000,128800,135400,127000,129100,136900,134500,136700,137600,209100,144200,151200,148500,151400,156300,163200,155300,156000,159100,179300,165600,188000,170300,170900,185800,172000,191200,181900,219500,188400,185600,186800,186900,190000,189600
1200,2700,4300,5900,7500,9600,11200,12300,14800,15800,19300,19500,21600,24400,26100,27500,29800,30300,32100,33600,36800,37600,41900,40900,77400,45000,54500,51600,50700,55200,57800,54900,58900,60600,62600,67100,67100,71700,69100,72200,74900,107300,80600,79600,80700,83800,89300,88800,87900,97100,96200,99900,107600,101400,125600,104200,109100,111200,108300,115700,117200,114200,115700,121600,120200,206000,149900,131300,128700,138100,139200,132900,139100,155200,143800,140600,145000,155200,149400,197600,153000,152400,157900,160300,174800,162200,168200,246800,218200,168200,190400,173700,178500,181000,180500,182600,187300,190400,190300,188400
1200,2800,4700,6100,7800,9400,11600,12600,14600,16200,19300,19600,21600,24700,26100,27200,30000,32800,32500,34100,36800,37100,42500,41900,78700,44600,47000,51700,51400,62200,56200,55700,59600,59900,62600,65900,66700,67700,72300,72300,74600,88200,81200,79000,81400,82400,86800,88300,89000,94200,98500,94200,110000,100900,105200,102200,105300,110100,107800,123000,172600,118100,119700,120300,128800,126200,129400,133500,130200,132700,137400,137700,135600,140600,170500,140800,147800,152100,147500,153200,151900,161100,155400,166100,164300,186200,265500,165400,173100,177600,172700,172800,177700,181900,179600,195200,197800,193900,204800,193200
1200,2800,5000,6000,7500,9400,11400,12500,14900,15600,18800,19400,21800,23800,26200,26500,30600,32200,32500,33600,36600,37300,39800,42300,78000,45300,47300,52300,51100,60500,55700,55900,62400,60300,62300,73800,66300,68600,76300,72800,72900,77000,80800,79000,81300,82800,88700,93600,89200,92600,95300,95500,108500,107200,148000,103400,104700,111300,108800,121500,145400,130900,117600,161500,121800,125200,124300,129200,130400,134200,166300,137200,135900,140000,181000,161300,147300,149700,150300,154100,172700,153600,157300,160400,160500,158800,194500,176400,167500,170900,176600,185300,183800,226200,179700,179300,183600,187300,190300,191200
1200,2700,4400,5800,7900,9000,11900,12700,15000,16300,18400,19300,21100,23200,26400,27600,31600,32400,32200,34700,35800,36600,39500,41300,49100,44000,47000,52800,51400,53300,56400,54900,60400,60800,62200,68700,65700,68100,73200,74100,74300,77600,99300,80000,81500,82400,84200,87700,88200,98700,102600,120200,110400,99200,128800,103300,104400,123100,111000,113200,115700,116700,115400,121800,122900,122800,123200,159400,138500,142000,134000,134700,142900,139800,142100,143700,146400,146900,162900,152700,159400,180400,218400,158000,162400,191800,168100,166700,169700,169100,231300,176700,196000,184800,181500,182500,182700,185200,188400,190800
1200,2800,4500,6300,7500,9600,11800,12700,14700,16100,18900,19600,21100,23400,26300,30700,30100,33900,32100,34100,36500,38600,39800,41400,45300,44900,47300,53000,52200,52500,56100,57200,59900,60400,61500,67500,66500,69500,73400,71700,75200,77400,81400,82600,80700,82600,86400,96300,93300,95200,99900,97200,96700,98700,112900,103800,108700,110100,116200,114700,114100,116300,124500,120600,121200,123900,122700,133700,135500,134900,134300,142800,142100,138800,143200,144300,143000,160300,156500,148900,158500,158400,238000,161200,171700,172300,166400,214400,174900,239100,173500,178100,178700,179000,184700,179300,183100,185200,189700,200100
